"Age" "Lx.1933" "Lx.1934" "Lx.1935" "Lx.1936" "Lx.1937" "Lx.1938" "Lx.1939" "Lx.1940" "Lx.1941" "Lx.1942" "Lx.1943" "Lx.1944" "Lx.1945" "Lx.1946" "Lx.1947" "Lx.1948" "Lx.1949" "Lx.1950" "Lx.1951" "Lx.1952" "Lx.1953" "Lx.1954" "Lx.1955" "Lx.1956" "Lx.1957" "Lx.1958" "Lx.1959" "Lx.1960" "Lx.1961" "Lx.1962" "Lx.1963" "Lx.1964" "Lx.1965" "Lx.1966" "Lx.1967" "Lx.1968" "Lx.1969" "Lx.1970" "Lx.1971" "Lx.1972" "Lx.1973" "Lx.1974" "Lx.1975" "Lx.1976" "Lx.1977" "Lx.1978" "Lx.1979" "Lx.1980" "Lx.1981" "Lx.1982" "Lx.1983" "Lx.1984" "Lx.1985" "Lx.1986" "Lx.1987" "Lx.1988" "Lx.1989" "Lx.1990" "Lx.1991" "Lx.1992" "Lx.1993" "Lx.1994" "Lx.1995" "Lx.1996" "Lx.1997" "Lx.1998" "Lx.1999" "Lx.2000" "Lx.2001" "Lx.2002" "Lx.2003" "Lx.2004" "Lx.2005" "Lx.2006" "Lx.2007" "Lx.2008" "Lx.2009" "Lx.2010" "Lx.2011" "Lx.2012" "Lx.2013" "Lx.2014" "Lx.2015" "Lx.2016" "Lx.2017" "Lx.2018" "Lx.2019" "Lx.2020" "Lx.2021" "Lx.2022" "Lx.2023"
"11" 10 90736 89797 90717 90672 90999 91558 92341 92438 92696 93280 93516 93771 94064 94005 94959 95083 95142 95493 95511 95545 95750 95983 96092 96158 96160 96186 96245 96267 96438 96469 96463 96519 96613 96685 96836 96848 96943 97034 97279 97394 97455 97556 97709 97813 97914 97986 98068 98124 98243 98298 98367 98413 98406 98459 98477 98492 98506 98582 98635 98724 98738 98790 98851 98890 98920 98934 98949 98974 99004 98998 98993 99018 99006 99026 99024 99057 99090 99139 99157 99165 99168 99191 99181 99185 99199 99210 99226 99261 99230 99198 99215
"12" 11 90607 89666 90582 90542 90882 91452 92238 92343 92605 93193 93425 93676 93977 93924 94891 95018 95076 95433 95455 95491 95699 95935 96041 96108 96112 96145 96196 96221 96394 96426 96421 96476 96572 96643 96796 96806 96904 96993 97239 97353 97416 97521 97674 97781 97881 97953 98037 98094 98213 98272 98341 98386 98380 98433 98451 98465 98481 98560 98611 98702 98716 98768 98830 98870 98901 98915 98930 98955 98986 98981 98976 99002 98991 99012 99009 99044 99076 99127 99144 99153 99156 99178 99169 99172 99185 99198 99212 99247 99216 99184 99201
"13" 12 90477 89536 90446 90409 90762 91344 92132 92246 92511 93104 93331 93581 93886 93840 94821 94949 95008 95372 95393 95432 95641 95885 95992 96058 96057 96097 96145 96174 96347 96380 96377 96431 96527 96599 96752 96761 96861 96950 97197 97312 97374 97482 97636 97745 97844 97918 98004 98062 98181 98242 98312 98356 98352 98402 98420 98436 98451 98535 98585 98677 98692 98744 98806 98848 98879 98893 98910 98934 98967 98961 98957 98984 98974 98996 98993 99029 99061 99113 99129 99139 99143 99164 99155 99158 99169 99185 99196 99232 99202 99168 99186
"14" 13 90340 89399 90304 90269 90633 91229 92016 92141 92409 93008 93231 93481 93788 93750 94742 94874 94934 95305 95322 95364 95573 95826 95937 96004 95996 96038 96087 96121 96295 96328 96327 96381 96476 96549 96702 96709 96811 96901 97150 97264 97323 97433 97594 97702 97801 97874 97964 98025 98144 98207 98277 98322 98317 98366 98384 98402 98416 98505 98553 98646 98661 98714 98776 98820 98851 98865 98887 98910 98944 98938 98934 98962 98954 98977 98975 99011 99044 99096 99112 99123 99126 99147 99139 99142 99150 99168 99179 99213 99183 99150 99166
"15" 14 90188 89249 90150 90115 90488 91100 91889 92024 92294 92901 93121 93371 93680 93652 94652 94788 94850 95228 95240 95283 95494 95755 95869 95940 95928 95970 96021 96059 96236 96267 96269 96319 96418 96488 96641 96645 96749 96840 97090 97204 97261 97372 97540 97649 97748 97822 97916 97978 98100 98164 98235 98280 98273 98321 98341 98359 98374 98462 98509 98606 98617 98673 98734 98782 98815 98832 98856 98880 98916 98909 98905 98935 98925 98952 98950 98988 99022 99076 99091 99102 99106 99126 99117 99120 99127 99145 99158 99187 99157 99123 99139
"16" 15 90018 89079 89977 89940 90323 90954 91745 91891 92161 92779 92995 93248 93558 93543 94550 94687 94752 95135 95143 95183 95399 95667 95784 95858 95844 95891 95941 95985 96166 96198 96197 96244 96344 96414 96567 96567 96668 96760 97011 97124 97181 97297 97466 97582 97680 97758 97852 97916 98044 98108 98182 98226 98217 98260 98285 98301 98318 98403 98449 98547 98557 98613 98678 98732 98768 98789 98813 98839 98877 98872 98868 98897 98886 98918 98916 98957 98993 99047 99063 99074 99078 99099 99088 99091 99095 99113 99128 99152 99121 99085 99101
"17" 16 89826 88887 89784 89741 90132 90787 91586 91740 92008 92638 92849 93107 93419 93420 94432 94574 94637 95023 95030 95062 95284 95562 95679 95754 95736 95794 95841 95891 96076 96111 96103 96150 96248 96315 96467 96460 96556 96653 96903 97012 97071 97196 97370 97491 97586 97667 97760 97824 97963 98031 98108 98151 98140 98174 98205 98217 98236 98318 98362 98460 98469 98527 98596 98656 98700 98725 98752 98779 98821 98814 98813 98841 98832 98866 98867 98911 98950 99007 99024 99036 99040 99061 99048 99048 99049 99071 99087 99103 99070 99034 99047
"18" 17 89613 88673 89568 89518 89918 90602 91410 91574 91837 92480 92683 92948 93264 93281 94299 94445 94510 94896 94902 94926 95154 95441 95559 95633 95608 95676 95720 95776 95964 96000 95988 96032 96129 96182 96339 96318 96409 96512 96762 96865 96926 97059 97243 97367 97460 97540 97634 97698 97851 97925 98008 98051 98040 98061 98098 98106 98127 98202 98246 98348 98355 98412 98487 98556 98606 98639 98666 98697 98742 98734 98734 98764 98756 98792 98798 98846 98891 98950 98970 98983 98989 99008 98993 98991 98990 99014 99031 99037 98998 98964 98976
"19" 18 89381 88438 89332 89271 89680 90397 91218 91391 91649 92301 92483 92744 93062 93099 94134 94295 94367 94752 94756 94771 95007 95303 95418 95492 95462 95538 95579 95638 95834 95866 95852 95887 95982 96019 96182 96145 96229 96339 96587 96689 96746 96888 97080 97212 97300 97379 97472 97539 97704 97786 97881 97925 97914 97923 97966 97968 97991 98055 98102 98214 98216 98271 98354 98432 98489 98528 98559 98594 98637 98631 98632 98663 98655 98690 98703 98758 98810 98871 98894 98910 98920 98938 98918 98911 98912 98937 98955 98947 98900 98871 98885
"20" 19 89129 88183 89077 89003 89422 90176 91011 91191 91444 92098 92237 92473 92799 92872 93942 94123 94208 94594 94595 94597 94841 95149 95258 95329 95299 95382 95426 95479 95686 95711 95697 95720 95812 95840 95998 95952 96023 96141 96389 96494 96545 96693 96894 97037 97116 97196 97286 97356 97538 97626 97734 97782 97770 97768 97817 97815 97841 97896 97941 98064 98060 98114 98205 98289 98355 98399 98435 98471 98511 98504 98508 98543 98531 98565 98583 98648 98710 98773 98797 98817 98835 98850 98826 98810 98810 98843 98861 98831 98775 98759 98777
"21" 20 88859 87908 88804 88718 89146 89940 90788 90976 91224 91874 91954 92152 92507 92629 93738 93936 94037 94424 94422 94413 94655 94978 95083 95150 95123 95215 95260 95310 95527 95547 95533 95546 95638 95657 95810 95755 95814 95936 96187 96292 96340 96498 96704 96857 96929 97009 97096 97167 97367 97466 97583 97632 97623 97608 97664 97657 97694 97740 97783 97913 97902 97956 98053 98142 98217 98267 98307 98339 98377 98369 98374 98414 98399 98429 98454 98525 98599 98667 98689 98714 98737 98751 98720 98697 98695 98740 98755 98701 98638 98637 98659
"22" 21 88571 87615 88516 88418 88858 89692 90553 90745 90989 91631 91649 91810 92207 92375 93526 93737 93857 94245 94240 94222 94458 94793 94894 94962 94939 95039 95079 95135 95360 95376 95361 95370 95458 95466 95618 95547 95598 95723 95978 96075 96126 96298 96506 96672 96739 96816 96905 96970 97188 97301 97429 97474 97468 97439 97505 97496 97543 97582 97621 97756 97741 97794 97897 97991 98072 98129 98175 98203 98237 98231 98236 98278 98259 98286 98318 98393 98475 98550 98575 98600 98627 98641 98603 98569 98572 98624 98635 98557 98491 98505 98535
"23" 22 88268 87308 88214 88105 88560 89436 90307 90502 90741 91374 91329 91465 91912 92118 93310 93533 93670 94057 94048 94025 94255 94602 94695 94765 94754 94858 94895 94961 95186 95203 95184 95193 95270 95269 95412 95327 95375 95499 95757 95855 95909 96091 96305 96478 96542 96619 96710 96770 97003 97130 97272 97312 97308 97270 97341 97332 97387 97418 97455 97596 97579 97632 97738 97840 97927 97989 98041 98066 98093 98091 98095 98136 98112 98138 98171 98254 98347 98425 98448 98476 98507 98521 98475 98430 98440 98496 98505 98401 98329 98363 98402
"24" 23 87955 86989 87900 87784 88253 89172 90054 90249 90483 91106 91005 91125 91624 91864 93095 93326 93481 93868 93852 93826 94054 94414 94500 94566 94567 94680 94722 94795 95013 95031 95008 95017 95089 95074 95206 95111 95154 95284 95538 95645 95694 95885 96102 96287 96348 96424 96513 96572 96821 96958 97111 97150 97148 97103 97178 97165 97226 97251 97291 97440 97418 97475 97582 97694 97788 97855 97909 97933 97955 97952 97952 97998 97966 97989 98024 98114 98219 98300 98316 98350 98383 98396 98342 98286 98300 98362 98374 98239 98160 98212 98263
"25" 24 87633 86665 87578 87454 87940 88902 89795 89989 90220 90835 90686 90799 91345 91618 92884 93123 93292 93679 93659 93631 93860 94234 94315 94378 94384 94505 94559 94632 94850 94862 94837 94842 94918 94891 95019 94911 94942 95082 95333 95441 95488 95686 95901 96100 96161 96235 96321 96378 96640 96787 96952 96990 96988 96937 97015 96999 97061 97088 97133 97289 97261 97322 97431 97555 97652 97723 97781 97801 97820 97812 97813 97860 97822 97839 97877 97976 98087 98170 98185 98224 98257 98267 98205 98135 98152 98223 98239 98069 97984 98053 98119
"26" 25 87309 86337 87248 87119 87623 88626 89532 89727 89955 90567 90384 90495 91077 91381 92678 92926 93106 93491 93468 93440 93673 94058 94136 94199 94207 94332 94393 94463 94694 94700 94672 94670 94751 94715 94842 94721 94741 94882 95138 95248 95289 95492 95705 95915 95976 96053 96132 96187 96455 96620 96796 96832 96828 96771 96853 96833 96893 96922 96975 97138 97108 97171 97284 97417 97519 97594 97660 97672 97688 97677 97677 97721 97680 97690 97733 97837 97957 98039 98054 98095 98130 98136 98064 97979 97997 98078 98096 97893 97795 97886 97968
