"Age" "ASFR.1933" "ASFR.1934" "ASFR.1935" "ASFR.1936" "ASFR.1937" "ASFR.1938" "ASFR.1939" "ASFR.1940" "ASFR.1941" "ASFR.1942" "ASFR.1943" "ASFR.1944" "ASFR.1945" "ASFR.1946" "ASFR.1947" "ASFR.1948" "ASFR.1949" "ASFR.1950" "ASFR.1951" "ASFR.1952" "ASFR.1953" "ASFR.1954" "ASFR.1955" "ASFR.1956" "ASFR.1957" "ASFR.1958" "ASFR.1959" "ASFR.1960" "ASFR.1961" "ASFR.1962" "ASFR.1963" "ASFR.1964" "ASFR.1965" "ASFR.1966" "ASFR.1967" "ASFR.1968" "ASFR.1969" "ASFR.1970" "ASFR.1971" "ASFR.1972" "ASFR.1973" "ASFR.1974" "ASFR.1975" "ASFR.1976" "ASFR.1977" "ASFR.1978" "ASFR.1979" "ASFR.1980" "ASFR.1981" "ASFR.1982" "ASFR.1983" "ASFR.1984" "ASFR.1985" "ASFR.1986" "ASFR.1987" "ASFR.1988" "ASFR.1989" "ASFR.1990" "ASFR.1991" "ASFR.1992" "ASFR.1993" "ASFR.1994" "ASFR.1995" "ASFR.1996" "ASFR.1997" "ASFR.1998" "ASFR.1999" "ASFR.2000" "ASFR.2001" "ASFR.2002" "ASFR.2003" "ASFR.2004" "ASFR.2005" "ASFR.2006" "ASFR.2007" "ASFR.2008" "ASFR.2009" "ASFR.2010" "ASFR.2011" "ASFR.2012" "ASFR.2013" "ASFR.2014" "ASFR.2015" "ASFR.2016" "ASFR.2017" "ASFR.2018" "ASFR.2019" "ASFR.2020" "ASFR.2021" "ASFR.2022" "ASFR.2023"
"21" 32 0.07813 0.07541 0.07388 0.07279 0.07343 0.07546 0.07186 0.07495 0.07743 0.08394 0.09182 0.09137 0.09439 0.1067 0.1099 0.10053 0.09951 0.10302 0.10473 0.11525 0.11521 0.11625 0.11564 0.1189 0.12005 0.11575 0.11496 0.11365 0.11113 0.11186 0.10866 0.10466 0.09486 0.08433 0.07832 0.07396 0.0726 0.0721 0.06542 0.05835 0.05384 0.05236 0.05105 0.05162 0.05396 0.05597 0.05789 0.05972 0.06099 0.06357 0.06415 0.0666 0.06912 0.06995 0.07231 0.07522 0.07747 0.08085 0.0794 0.08025 0.0803 0.08087 0.08237 0.0842 0.08459 0.0864 0.08835 0.09251 0.0925 0.09375 0.09761 0.0979 0.09742 0.10029 0.10081 0.09976 0.09874 0.09805 0.09721 0.09812 0.09914 0.10373 0.10411 0.1051 0.10258 0.10189 0.10102 0.09806 0.09995 0.09915 0.0963
"22" 33 0.07614 0.06993 0.06342 0.06365 0.06361 0.06484 0.06648 0.06862 0.07059 0.07609 0.08377 0.08443 0.08776 0.09382 0.09651 0.08875 0.08711 0.08695 0.09202 0.094 0.09981 0.10179 0.10018 0.10041 0.10404 0.101 0.0988 0.09818 0.09925 0.09285 0.09439 0.09156 0.08279 0.07451 0.06909 0.06344 0.06218 0.0604 0.05608 0.04899 0.04524 0.04328 0.04206 0.04246 0.04454 0.04461 0.04784 0.04854 0.0502 0.05211 0.05341 0.05579 0.05829 0.0593 0.06153 0.0643 0.06646 0.06923 0.06846 0.0691 0.07037 0.07078 0.0716 0.07339 0.07517 0.07717 0.07818 0.08212 0.08324 0.08348 0.08712 0.08794 0.08828 0.08945 0.09112 0.08971 0.08873 0.0886 0.08974 0.08886 0.08987 0.09304 0.09514 0.0968 0.09489 0.09454 0.09377 0.09096 0.09422 0.09351 0.09159
"23" 34 0.06013 0.07248 0.06336 0.05784 0.05839 0.05985 0.06225 0.06334 0.06489 0.06955 0.07691 0.07843 0.08182 0.08376 0.08585 0.08059 0.07897 0.07876 0.08009 0.08478 0.08381 0.09068 0.08976 0.08881 0.08978 0.08927 0.0881 0.08638 0.08553 0.0832 0.07908 0.08096 0.07276 0.06492 0.05963 0.05632 0.054 0.05126 0.04633 0.04081 0.03674 0.03516 0.03445 0.03418 0.03459 0.03503 0.03708 0.03916 0.03958 0.0417 0.04243 0.04458 0.04676 0.04813 0.0502 0.05273 0.05516 0.05742 0.05683 0.05815 0.05838 0.0596 0.06053 0.06198 0.06351 0.06616 0.06765 0.07099 0.07266 0.07491 0.07726 0.07889 0.07861 0.07942 0.08066 0.08034 0.0791 0.07847 0.07958 0.08087 0.08072 0.08366 0.08457 0.08667 0.08602 0.08593 0.0852 0.08298 0.08664 0.08689 0.08463
"24" 35 0.06009 0.05676 0.06493 0.05589 0.05205 0.05306 0.05583 0.05575 0.05693 0.06077 0.06747 0.06961 0.07307 0.07475 0.07419 0.06924 0.06924 0.06938 0.07135 0.07234 0.0755 0.07533 0.07974 0.07949 0.07908 0.07669 0.07765 0.07725 0.0755 0.07153 0.07052 0.06745 0.06441 0.05768 0.05196 0.04835 0.04691 0.04489 0.04045 0.0341 0.0309 0.02861 0.02885 0.02782 0.02857 0.02814 0.02964 0.03072 0.03227 0.03326 0.03409 0.03538 0.03809 0.03954 0.04156 0.04352 0.04582 0.04783 0.04799 0.04821 0.04853 0.04961 0.05069 0.05182 0.05255 0.05481 0.05651 0.05958 0.06147 0.0636 0.06636 0.06772 0.06805 0.06915 0.06948 0.06862 0.06844 0.0681 0.06908 0.07005 0.07152 0.07321 0.07401 0.07543 0.07506 0.07597 0.07563 0.07395 0.07682 0.07741 0.07682
"25" 36 0.05416 0.05401 0.04922 0.05633 0.04951 0.04672 0.04816 0.04741 0.0482 0.05115 0.05694 0.05938 0.06267 0.06586 0.06565 0.05941 0.05868 0.05909 0.06149 0.06274 0.0632 0.06693 0.06425 0.06844 0.06836 0.06525 0.06477 0.06536 0.0654 0.06157 0.05912 0.05823 0.05292 0.04955 0.04473 0.04116 0.03828 0.03708 0.03415 0.0297 0.02579 0.02391 0.02241 0.0229 0.02281 0.02276 0.02309 0.02415 0.0245 0.02631 0.02641 0.02803 0.02952 0.03096 0.03308 0.03498 0.03714 0.03919 0.03943 0.03982 0.04046 0.041 0.04159 0.04317 0.04391 0.04516 0.04683 0.04927 0.04985 0.05156 0.0551 0.05632 0.05669 0.05775 0.05762 0.05742 0.05666 0.05653 0.05734 0.05819 0.0593 0.06186 0.0621 0.06296 0.06272 0.06382 0.06393 0.06215 0.06505 0.06579 0.06522
"26" 37 0.04748 0.0467 0.04429 0.04005 0.04718 0.04273 0.04139 0.04067 0.0411 0.04319 0.04806 0.05043 0.05313 0.05292 0.05609 0.0514 0.0493 0.04924 0.05114 0.05405 0.05386 0.05454 0.05603 0.05429 0.05796 0.05568 0.05413 0.05339 0.05452 0.05219 0.04999 0.04938 0.04537 0.04053 0.03898 0.03513 0.03198 0.03061 0.02759 0.02456 0.02171 0.01973 0.01848 0.0179 0.01802 0.01736 0.01804 0.01791 0.01823 0.0191 0.02004 0.02038 0.02176 0.0229 0.02462 0.02646 0.0284 0.02975 0.03035 0.0309 0.03125 0.03183 0.03266 0.03372 0.03473 0.0358 0.03669 0.03887 0.03967 0.04059 0.04305 0.04473 0.04539 0.04604 0.0468 0.04591 0.04555 0.04502 0.04631 0.047 0.04788 0.04947 0.05077 0.05073 0.0506 0.05092 0.05174 0.0506 0.05256 0.0541 0.05318
"27" 38 0.04755 0.04769 0.04481 0.04158 0.03804 0.04409 0.03509 0.03474 0.03485 0.03616 0.0401 0.04216 0.04412 0.04834 0.04734 0.0464 0.04479 0.04311 0.04389 0.04605 0.04695 0.04793 0.04765 0.05071 0.04825 0.05023 0.04885 0.04725 0.04601 0.04434 0.04357 0.04158 0.0388 0.03532 0.03166 0.03021 0.02722 0.02581 0.02309 0.01995 0.01766 0.01594 0.01527 0.01476 0.01448 0.01423 0.01424 0.01423 0.01399 0.01486 0.01508 0.01623 0.01685 0.01778 0.01893 0.0206 0.02197 0.02327 0.02407 0.02434 0.02477 0.02546 0.02594 0.02633 0.02698 0.02825 0.02846 0.03017 0.03088 0.03158 0.03306 0.03412 0.03505 0.03606 0.03625 0.03641 0.03571 0.03594 0.03589 0.03703 0.03748 0.0389 0.03983 0.04059 0.03997 0.04009 0.04039 0.03952 0.04144 0.04286 0.04247
"28" 39 0.03724 0.03752 0.03572 0.03323 0.03194 0.02977 0.02907 0.02912 0.02896 0.02963 0.03263 0.03427 0.03557 0.03689 0.0379 0.03471 0.03562 0.0346 0.03473 0.03662 0.03656 0.03827 0.03853 0.03623 0.03911 0.03661 0.03964 0.03814 0.0373 0.03451 0.0339 0.03398 0.0309 0.02766 0.02548 0.0228 0.02212 0.02044 0.01781 0.01548 0.0136 0.01229 0.01143 0.01063 0.01046 0.00993 0.01047 0.01019 0.00993 0.00998 0.01019 0.01066 0.01134 0.01154 0.01224 0.01328 0.01437 0.01548 0.01615 0.01673 0.01706 0.01787 0.01824 0.01903 0.0197 0.02053 0.02128 0.02235 0.02311 0.02385 0.02516 0.02565 0.02609 0.02709 0.02803 0.02785 0.0276 0.02752 0.02781 0.02843 0.02901 0.03005 0.03056 0.03108 0.0316 0.03146 0.03153 0.03055 0.03201 0.03326 0.03303
"29" 40 0.03078 0.03024 0.02936 0.02769 0.0261 0.02579 0.02364 0.02397 0.0235 0.0238 0.02625 0.02748 0.02815 0.02792 0.02848 0.02711 0.02637 0.02699 0.02756 0.02743 0.02811 0.02887 0.02909 0.02942 0.02918 0.02868 0.02763 0.02877 0.02882 0.02707 0.02558 0.02564 0.02415 0.02169 0.01938 0.01785 0.01613 0.01551 0.01342 0.01158 0.01007 0.00918 0.00873 0.00788 0.00778 0.00722 0.00723 0.00727 0.00716 0.0073 0.00716 0.00737 0.00775 0.00841 0.0085 0.00927 0.01006 0.01094 0.01134 0.01183 0.01216 0.01261 0.0129 0.01346 0.01382 0.01434 0.01458 0.01597 0.0163 0.01684 0.01789 0.01834 0.01846 0.01943 0.01989 0.02037 0.02016 0.01995 0.02005 0.02053 0.02098 0.02173 0.02221 0.02281 0.02259 0.02296 0.02303 0.02236 0.02302 0.02394 0.02415
"30" 41 0.01967 0.01963 0.01859 0.0177 0.01741 0.01676 0.01819 0.01849 0.01795 0.01796 0.01964 0.02048 0.02094 0.01868 0.01882 0.01802 0.01774 0.01695 0.01853 0.01851 0.01878 0.01962 0.01949 0.01963 0.01976 0.01896 0.01945 0.01902 0.02012 0.01897 0.01798 0.01719 0.01627 0.01512 0.01373 0.01246 0.01141 0.01043 0.00943 0.00813 0.00726 0.00638 0.00593 0.00561 0.00555 0.00509 0.00509 0.00496 0.00508 0.00505 0.00495 0.00481 0.0051 0.00524 0.00579 0.00595 0.00665 0.00714 0.00755 0.00801 0.00812 0.0085 0.00885 0.0092 0.00946 0.00985 0.00998 0.01067 0.01086 0.01118 0.01187 0.01216 0.01254 0.0128 0.01314 0.01364 0.01375 0.0136 0.01379 0.0139 0.01443 0.01458 0.01516 0.01534 0.01579 0.01601 0.01584 0.01544 0.01584 0.0165 0.01663
"31" 42 0.01877 0.01874 0.01764 0.0164 0.01562 0.01546 0.01287 0.01288 0.01247 0.01223 0.01295 0.01338 0.01392 0.01507 0.01536 0.01453 0.01402 0.01408 0.0137 0.01488 0.01462 0.01494 0.0148 0.01497 0.01518 0.01423 0.01428 0.01427 0.01374 0.01431 0.0139 0.01294 0.01176 0.01088 0.01003 0.00897 0.00816 0.00758 0.00655 0.00592 0.00514 0.00448 0.00409 0.00395 0.00386 0.00362 0.00346 0.00347 0.00323 0.00347 0.00337 0.00329 0.00337 0.0034 0.00342 0.00392 0.00405 0.00425 0.00457 0.0048 0.00498 0.0053 0.0054 0.00565 0.00587 0.00619 0.00624 0.00652 0.0068 0.00703 0.00737 0.00772 0.0079 0.00811 0.00833 0.00856 0.00866 0.00885 0.00874 0.00893 0.00907 0.00954 0.0097 0.00991 0.01006 0.01022 0.01044 0.01015 0.01031 0.0109 0.0108
"32" 43 0.01283 0.01235 0.01164 0.01085 0.01011 0.01018 0.0085 0.00829 0.00803 0.0077 0.00782 0.00798 0.00852 0.00955 0.00956 0.00898 0.00883 0.00855 0.00869 0.00863 0.00941 0.00923 0.00912 0.00934 0.00935 0.00896 0.00889 0.00896 0.00897 0.0082 0.00848 0.00832 0.0076 0.00694 0.00643 0.00591 0.00529 0.0048 0.00408 0.00353 0.00322 0.00281 0.00268 0.00246 0.0024 0.00216 0.00217 0.00203 0.002 0.00191 0.00193 0.00202 0.00199 0.00193 0.00203 0.00214 0.00242 0.00247 0.00258 0.00267 0.0029 0.00298 0.00319 0.00328 0.00347 0.00368 0.00362 0.00388 0.00399 0.00412 0.00433 0.00444 0.00471 0.00482 0.00491 0.00512 0.00506 0.00532 0.00532 0.00541 0.00551 0.00556 0.00586 0.006 0.00612 0.00615 0.00618 0.00621 0.00637 0.00651 0.00665
"33" 44 0.00808 0.00789 0.00721 0.0068 0.00634 0.00614 0.00533 0.00503 0.00487 0.00458 0.00445 0.00449 0.00494 0.00542 0.00552 0.00511 0.00514 0.00484 0.00506 0.00506 0.00492 0.00519 0.0051 0.00528 0.0052 0.00505 0.0052 0.00486 0.00496 0.00466 0.00434 0.00462 0.00426 0.00394 0.00356 0.00317 0.00308 0.00251 0.00222 0.00203 0.00167 0.0015 0.00158 0.00136 0.00126 0.00112 0.00124 0.00116 0.00106 0.00106 0.00101 0.00111 0.0011 0.00105 0.00109 0.0011 0.00123 0.00131 0.00131 0.00138 0.00149 0.00163 0.00166 0.00177 0.00184 0.00196 0.00204 0.00214 0.00215 0.00226 0.00237 0.00251 0.00256 0.0027 0.00276 0.00283 0.00291 0.00286 0.00292 0.00312 0.00307 0.00325 0.00328 0.00337 0.00342 0.0035 0.00356 0.00351 0.00349 0.00386 0.00384
"34" 45 0.00526 0.00491 0.00463 0.00419 0.00391 0.00381 0.00326 0.00305 0.00299 0.00275 0.00269 0.00268 0.00303 0.00315 0.00301 0.00291 0.00286 0.00271 0.00263 0.00271 0.00259 0.00254 0.00275 0.00267 0.00267 0.00256 0.00259 0.00256 0.00258 0.00244 0.00234 0.00218 0.00227 0.00211 0.00194 0.00167 0.0015 0.00144 0.00118 0.00102 0.00091 0.00074 0.00077 0.00067 0.00066 0.00062 6e-04 0.00059 0.00058 6e-04 0.00051 0.00049 0.00053 0.00057 0.00057 0.00051 0.00059 6e-04 0.00066 0.00065 0.00071 0.00074 8e-04 0.00084 0.00093 0.00094 0.00104 0.00105 0.00113 0.00122 0.00125 0.00129 0.00133 0.00141 0.00148 0.00151 0.00155 0.00155 0.00157 0.00164 0.0018 0.00176 0.00181 0.0018 0.0019 0.00196 0.00193 0.00191 0.00198 0.00214 0.00219
"35" 46 0.00245 0.00242 0.00222 0.00219 0.00205 0.00187 0.00196 0.0018 0.00172 0.0016 0.00156 0.00153 0.00177 0.00172 0.00158 0.00137 0.00138 0.00126 0.00134 0.00133 0.00127 0.0013 0.00114 0.00127 0.00124 0.00112 0.00116 0.00112 0.00113 0.00114 0.00113 0.00106 0.00094 0.00092 0.00083 0.00077 0.00065 6e-04 0.00057 5e-04 0.00042 0.00041 0.00034 0.00035 0.00031 3e-04 0.00026 0.00027 0.00025 0.00027 3e-04 0.00025 0.00024 0.00024 0.00027 0.00029 0.00026 0.00029 0.00029 0.00028 0.00033 0.00034 0.00036 0.00044 0.00042 0.00045 0.00052 0.00054 0.00057 0.00059 0.00064 0.00064 0.00067 0.00069 0.00075 0.00078 0.00084 8e-04 0.00081 0.00088 0.00091 0.00095 0.001 0.00095 0.00103 0.00105 0.00109 0.00107 0.00108 0.00117 0.00113
"36" 47 0.00127 0.00122 0.00123 0.00104 0.00107 0.00097 0.00109 0.00095 0.00086 0.00084 0.00079 0.00075 0.00087 6e-04 0.00084 0.00067 0.00066 0.00056 0.00055 0.00055 0.00059 0.00057 0.00053 0.00047 0.00056 0.00056 0.00052 0.00049 0.00044 5e-04 0.00046 0.00045 4e-04 0.00038 0.00038 0.00034 0.00031 0.00028 0.00025 0.00021 0.00017 0.00017 0.00016 0.00013 0.00012 0.00012 0.00013 0.00012 0.00013 0.00014 9e-05 1e-04 1e-04 0.00011 0.00012 0.00011 0.00014 0.00012 1e-04 0.00013 0.00015 0.00015 0.00017 0.00018 0.00021 0.00025 0.00026 0.00026 0.00029 0.00029 0.00031 0.00033 0.00036 0.00037 4e-04 0.00041 0.00045 0.00042 0.00041 0.00045 0.00046 0.00051 0.00054 0.00055 0.00059 0.00061 0.00061 0.00056 6e-04 0.00071 0.00068
"37" 48 0.00081 0.00087 0.00071 0.00067 0.00056 0.00062 0.00058 0.00047 0.00039 0.00042 0.00037 0.00034 4e-04 0.00035 3e-04 0.00042 0.00035 0.00029 0.00029 0.00029 0.00025 0.00026 0.00024 0.00021 2e-04 0.00024 0.00024 0.00019 0.00024 0.00017 0.00016 2e-04 0.00016 0.00017 0.00014 0.00017 0.00017 1e-04 9e-05 9e-05 7e-05 7e-05 6e-05 5e-05 5e-05 4e-05 6e-05 6e-05 6e-05 6e-05 6e-05 6e-05 5e-05 4e-05 5e-05 7e-05 9e-05 6e-05 6e-05 8e-05 8e-05 9e-05 9e-05 8e-05 9e-05 0.00011 0.00013 0.00013 0.00015 0.00017 0.00017 0.00017 0.00018 2e-04 0.00022 0.00025 0.00022 0.00025 0.00026 0.00024 0.00026 0.00028 0.00031 0.00034 0.00029 0.00035 0.00037 0.00036 0.00034 0.00041 0.00043
"38" 49 0.00037 0.00037 0.00038 0.00034 0.00029 0.00027 0.00029 0.00023 0.00017 2e-04 0.00016 0.00014 0.00017 2e-04 0.00015 0.00014 0.00022 0.00018 0.00014 0.00019 0.00011 0.00014 0.00012 0.00011 0.00012 9e-05 0.00011 9e-05 9e-05 7e-05 9e-05 7e-05 7e-05 4e-05 5e-05 6e-05 6e-05 8e-05 3e-05 4e-05 2e-05 3e-05 2e-05 2e-05 2e-05 2e-05 2e-05 2e-05 4e-05 2e-05 2e-05 3e-05 2e-05 2e-05 3e-05 3e-05 4e-05 6e-05 4e-05 3e-05 4e-05 6e-05 4e-05 5e-05 6e-05 5e-05 7e-05 8e-05 0.00011 1e-04 9e-05 9e-05 0.00011 0.00012 0.00012 0.00014 0.00015 0.00014 0.00015 0.00015 0.00017 0.00019 2e-04 0.00021 0.00023 0.00023 0.00026 0.00023 0.00023 0.00025 3e-04
"39" 50 9e-05 0.00011 0.00012 0.00012 0.00011 0.00011 0.00015 0.00013 9e-05 0.00012 7e-05 6e-05 7e-05 6e-05 5e-05 4e-05 9e-05 8e-05 9e-05 1e-04 8e-05 8e-05 5e-05 5e-05 5e-05 4e-05 3e-05 6e-05 6e-05 5e-05 4e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-05 3e-05 4e-05 5e-05 6e-05 5e-05 7e-05 8e-05 9e-05 0.00011 0.00011 0.00012 0.00012 0.00012 0.00013 0.00013 0.00015 0.00017 0.00017 0.00019 0.00021 0.00024 0.00027 0.00025 0.00025 3e-04 0.00032
"40" 51 3e-05 2e-05 3e-05 3e-05 4e-05 5e-05 8e-05 7e-05 5e-05 6e-05 4e-05 4e-05 4e-05 2e-05 3e-05 3e-05 5e-05 4e-05 6e-05 5e-05 5e-05 5e-05 3e-05 3e-05 3e-05 3e-05 2e-05 4e-05 4e-05 3e-05 2e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-05 2e-05 2e-05 4e-05 3e-05 3e-05 5e-05 6e-05 6e-05 7e-05 7e-05 7e-05 8e-05 8e-05 8e-05 8e-05 9e-05 1e-04 1e-04 0.00011 0.00012 0.00015 0.00016 0.00015 0.00015 0.00019 0.00019
"41" 52 3e-05 2e-05 3e-05 4e-05 6e-05 6e-05 3e-05 3e-05 2e-05 3e-05 3e-05 3e-05 3e-05 3e-05 3e-05 2e-05 2e-05 2e-05 3e-05 3e-05 3e-05 3e-05 2e-05 2e-05 1e-05 2e-05 1e-05 2e-05 2e-05 2e-05 1e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-05 2e-05 2e-05 2e-05 1e-05 2e-05 2e-05 3e-05 3e-05 3e-05 3e-05 3e-05 3e-05 3e-05 3e-05 3e-05 4e-05 4e-05 4e-05 4e-05 5e-05 6e-05 6e-05 6e-05 6e-05 7e-05 7e-05
"42" 53 3e-05 1e-05 3e-05 3e-05 4e-05 2e-05 1e-05 1e-05 1e-05 1e-05 3e-05 2e-05 3e-05 3e-05 2e-05 2e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-05 1e-05 1e-05 2e-05 1e-05 2e-05 2e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 1e-05 2e-05 2e-05 2e-05 2e-05 2e-05 2e-05 2e-05 2e-05
"43" 54 2e-05 1e-05 2e-05 3e-05 2e-05 1e-05 0 0 0 0 2e-05 2e-05 3e-05 2e-05 4e-05 3e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-05 0 1e-05 1e-05 1e-05 1e-05 1e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"44" 55 0 0 0 1e-05 1e-05 0 1e-05 0 0 0 8e-05 8e-05 1e-04 9e-05 9e-05 6e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
