"Age" "ASFR.1933" "ASFR.1934" "ASFR.1935" "ASFR.1936" "ASFR.1937" "ASFR.1938" "ASFR.1939" "ASFR.1940" "ASFR.1941" "ASFR.1942" "ASFR.1943" "ASFR.1944" "ASFR.1945" "ASFR.1946" "ASFR.1947" "ASFR.1948" "ASFR.1949" "ASFR.1950" "ASFR.1951" "ASFR.1952" "ASFR.1953" "ASFR.1954" "ASFR.1955" "ASFR.1956" "ASFR.1957" "ASFR.1958" "ASFR.1959" "ASFR.1960" "ASFR.1961" "ASFR.1962" "ASFR.1963" "ASFR.1964" "ASFR.1965" "ASFR.1966" "ASFR.1967" "ASFR.1968" "ASFR.1969" "ASFR.1970" "ASFR.1971" "ASFR.1972" "ASFR.1973" "ASFR.1974" "ASFR.1975" "ASFR.1976" "ASFR.1977" "ASFR.1978" "ASFR.1979" "ASFR.1980" "ASFR.1981" "ASFR.1982" "ASFR.1983" "ASFR.1984" "ASFR.1985" "ASFR.1986" "ASFR.1987" "ASFR.1988" "ASFR.1989" "ASFR.1990" "ASFR.1991" "ASFR.1992" "ASFR.1993" "ASFR.1994" "ASFR.1995" "ASFR.1996" "ASFR.1997" "ASFR.1998" "ASFR.1999" "ASFR.2000" "ASFR.2001" "ASFR.2002" "ASFR.2003" "ASFR.2004" "ASFR.2005" "ASFR.2006" "ASFR.2007" "ASFR.2008" "ASFR.2009" "ASFR.2010" "ASFR.2011" "ASFR.2012" "ASFR.2013" "ASFR.2014" "ASFR.2015" "ASFR.2016" "ASFR.2017" "ASFR.2018" "ASFR.2019" "ASFR.2020" "ASFR.2021" "ASFR.2022" "ASFR.2023"
"11" 22 0.11349 0.11807 0.11915 0.1192 0.12375 0.12684 0.12156 0.12672 0.13777 0.15936 0.1585 0.14907 0.13592 0.18181 0.21111 0.19791 0.20066 0.20032 0.21264 0.22457 0.22714 0.24136 0.24862 0.26123 0.26932 0.26604 0.2618 0.26686 0.26145 0.25298 0.24103 0.22857 0.20402 0.19253 0.18051 0.17456 0.17257 0.17227 0.15597 0.13304 0.12227 0.12075 0.11572 0.11294 0.11557 0.11283 0.11543 0.11704 0.11443 0.11536 0.11024 0.10939 0.11044 0.10972 0.11032 0.11271 0.11655 0.11999 0.11786 0.11588 0.11396 0.11214 0.11055 0.11119 0.11047 0.11208 0.11123 0.11182 0.10759 0.10524 0.10353 0.10407 0.105 0.10815 0.10644 0.10374 0.09793 0.09149 0.08652 0.08386 0.08169 0.08087 0.07861 0.07542 0.07233 0.06916 0.06761 0.06428 0.06247 0.06113 0.05845
"12" 23 0.11785 0.12034 0.12022 0.12143 0.12675 0.1311 0.12262 0.12808 0.13914 0.16115 0.16113 0.15218 0.1397 0.18849 0.21482 0.20368 0.20196 0.20139 0.2145 0.21856 0.2318 0.23844 0.24631 0.25762 0.2661 0.26587 0.26535 0.26459 0.26344 0.25338 0.24374 0.23064 0.20798 0.19531 0.18793 0.17677 0.17858 0.17726 0.16381 0.13953 0.12818 0.12583 0.12097 0.11764 0.12089 0.11694 0.12039 0.12149 0.11821 0.11762 0.11512 0.11294 0.11466 0.11295 0.11411 0.116 0.11888 0.12229 0.11985 0.11549 0.11219 0.11079 0.10943 0.11006 0.11044 0.11175 0.11166 0.11339 0.11111 0.10727 0.1063 0.1047 0.10628 0.11057 0.11048 0.10608 0.10022 0.09404 0.09081 0.08779 0.0855 0.08466 0.08313 0.08077 0.07833 0.07519 0.0735 0.07043 0.06948 0.06833 0.06623
"13" 24 0.11476 0.12208 0.11778 0.11824 0.12223 0.12788 0.12732 0.13303 0.14361 0.16492 0.16669 0.15591 0.14542 0.18544 0.20257 0.19571 0.19873 0.19416 0.20784 0.2141 0.21544 0.23171 0.23452 0.24547 0.25244 0.25299 0.25517 0.25424 0.24969 0.24093 0.22975 0.21943 0.19626 0.18506 0.17741 0.17278 0.1704 0.17246 0.15689 0.1374 0.12688 0.12428 0.11951 0.11773 0.12082 0.11731 0.1206 0.12128 0.11945 0.1181 0.11405 0.11457 0.11461 0.11313 0.11299 0.11595 0.1191 0.12098 0.11775 0.11607 0.11099 0.10846 0.10704 0.10772 0.10892 0.11099 0.11145 0.11369 0.11224 0.11104 0.10923 0.10868 0.10777 0.11223 0.11304 0.10943 0.10315 0.09814 0.09477 0.09366 0.09062 0.08939 0.08794 0.08539 0.08329 0.08064 0.0796 0.07677 0.07585 0.07537 0.07279
"14" 25 0.11388 0.11536 0.11656 0.11497 0.11729 0.12244 0.12605 0.13152 0.14086 0.15993 0.16357 0.15111 0.14354 0.17849 0.19465 0.1796 0.18604 0.19099 0.20007 0.20646 0.21155 0.2148 0.22505 0.23223 0.23967 0.23767 0.23831 0.24013 0.23554 0.22554 0.2182 0.20822 0.18906 0.17548 0.1693 0.16758 0.16823 0.16796 0.15666 0.13634 0.12758 0.12579 0.12103 0.11856 0.12237 0.11818 0.12059 0.12176 0.11967 0.11878 0.11515 0.1144 0.11771 0.11505 0.11569 0.11844 0.12219 0.12449 0.12067 0.11746 0.1139 0.10964 0.10713 0.10747 0.10792 0.10969 0.11129 0.11385 0.11322 0.1133 0.11399 0.11083 0.11091 0.11299 0.11416 0.11148 0.10612 0.10156 0.10001 0.09827 0.09667 0.09545 0.09332 0.09066 0.08824 0.08624 0.08531 0.08261 0.08269 0.08213 0.08055
"15" 26 0.10873 0.11399 0.10936 0.11147 0.11233 0.11639 0.11561 0.12038 0.12812 0.14418 0.14886 0.13682 0.13183 0.16992 0.18807 0.17242 0.17059 0.17433 0.18767 0.19296 0.195 0.19926 0.19917 0.21121 0.21434 0.21428 0.21584 0.21716 0.21744 0.20988 0.201 0.19412 0.17471 0.16247 0.15669 0.15511 0.15996 0.16022 0.14723 0.13196 0.1237 0.12319 0.1178 0.11679 0.12076 0.11758 0.11964 0.11983 0.11861 0.11785 0.11489 0.11413 0.11564 0.11555 0.11622 0.11864 0.12223 0.1254 0.12104 0.11808 0.11573 0.11284 0.10905 0.10953 0.10943 0.11181 0.11274 0.11525 0.11405 0.11465 0.11657 0.11612 0.11449 0.11668 0.11622 0.11415 0.11115 0.10644 0.10367 0.10285 0.10124 0.10163 0.09947 0.09676 0.09281 0.09054 0.08989 0.08735 0.08822 0.08842 0.08632
"16" 27 0.10118 0.10487 0.10507 0.10191 0.10698 0.10886 0.10696 0.11128 0.11774 0.13147 0.13712 0.12623 0.12332 0.14886 0.17192 0.16214 0.16075 0.15789 0.16805 0.17691 0.17806 0.1839 0.184 0.18274 0.19571 0.1931 0.19352 0.19448 0.19542 0.19117 0.18429 0.17794 0.16143 0.1455 0.13961 0.13893 0.14228 0.14483 0.13483 0.11817 0.11368 0.11251 0.11006 0.10911 0.1121 0.11037 0.11344 0.1134 0.1126 0.11252 0.1103 0.11016 0.1125 0.11129 0.11411 0.11621 0.11923 0.12253 0.11947 0.11769 0.11394 0.11216 0.10955 0.10863 0.10834 0.11007 0.11116 0.11453 0.11422 0.1148 0.11664 0.11782 0.11782 0.11817 0.11776 0.1141 0.11181 0.1088 0.10806 0.10731 0.10631 0.1069 0.10569 0.10252 0.09836 0.09504 0.09358 0.09111 0.09361 0.09408 0.09219
"17" 28 0.10283 0.10554 0.10411 0.10366 0.10283 0.10942 0.10103 0.10517 0.11075 0.1229 0.12956 0.12055 0.11926 0.14896 0.15515 0.15256 0.15508 0.1562 0.16333 0.17018 0.17222 0.17449 0.17697 0.18046 0.17842 0.18033 0.1794 0.17919 0.17751 0.1721 0.16867 0.16286 0.14656 0.1339 0.12512 0.12398 0.12741 0.13037 0.12131 0.1075 0.10182 0.10381 0.10126 0.10282 0.10689 0.1057 0.10931 0.11114 0.11083 0.11078 0.1089 0.10982 0.11237 0.11183 0.11425 0.11806 0.12018 0.12303 0.12056 0.11997 0.11677 0.11401 0.11267 0.11196 0.11013 0.11142 0.11166 0.11396 0.1138 0.11523 0.11764 0.1185 0.11961 0.12182 0.12006 0.11754 0.11338 0.11118 0.11119 0.11082 0.10947 0.11156 0.11089 0.10882 0.10366 0.10034 0.09837 0.09507 0.09763 0.0983 0.09665
"18" 29 0.09094 0.09483 0.09276 0.092 0.09519 0.09596 0.0978 0.10197 0.10695 0.11817 0.12592 0.11951 0.11953 0.13457 0.146 0.13048 0.13853 0.14072 0.14589 0.1515 0.15529 0.16042 0.15862 0.16104 0.16504 0.15977 0.16449 0.16193 0.16069 0.15326 0.14994 0.14802 0.13224 0.11945 0.11361 0.10847 0.11115 0.11352 0.10625 0.09352 0.08727 0.08569 0.0865 0.08723 0.0914 0.08983 0.09284 0.09431 0.09519 0.09529 0.09352 0.09518 0.09719 0.09695 0.09871 0.10147 0.10562 0.10822 0.10613 0.10629 0.10637 0.10563 0.10511 0.10574 0.10624 0.10818 0.10975 0.11322 0.11242 0.11373 0.1179 0.11867 0.11966 0.12193 0.12385 0.11873 0.11571 0.11205 0.11215 0.11203 0.11227 0.11375 0.11337 0.11253 0.10847 0.10467 0.1026 0.09846 0.10081 0.10066 0.09948
"19" 30 0.09009 0.0933 0.09212 0.09024 0.09102 0.09489 0.09021 0.09432 0.09842 0.10811 0.11634 0.11263 0.11402 0.12912 0.13497 0.12759 0.12339 0.12892 0.13309 0.13857 0.13894 0.14562 0.1461 0.14684 0.14869 0.14755 0.14608 0.14827 0.14457 0.13618 0.13188 0.1293 0.11826 0.10583 0.09646 0.09265 0.09313 0.0943 0.08751 0.07835 0.07337 0.07216 0.07114 0.07506 0.07768 0.0783 0.08154 0.0833 0.08447 0.0858 0.0864 0.08758 0.08979 0.09001 0.09207 0.0949 0.09725 0.1012 0.0994 0.0992 0.09928 0.09984 0.09909 0.09918 0.09951 0.10169 0.10245 0.10771 0.10787 0.10907 0.11156 0.11333 0.11295 0.11537 0.11728 0.11482 0.11039 0.10876 0.10883 0.11107 0.11087 0.11356 0.11325 0.11314 0.1095 0.10757 0.10452 0.10036 0.10265 0.10163 0.10023
"20" 31 0.06941 0.07239 0.07185 0.07127 0.07346 0.07579 0.07946 0.08324 0.08641 0.09424 0.10231 0.10042 0.10283 0.11217 0.11539 0.10681 0.10906 0.10621 0.11734 0.12058 0.11921 0.12219 0.12403 0.12596 0.1262 0.12424 0.12434 0.12245 0.12846 0.12165 0.11663 0.11148 0.10333 0.09454 0.08776 0.08219 0.08293 0.083 0.07759 0.06805 0.06373 0.06174 0.06092 0.06207 0.06703 0.06724 0.06988 0.07175 0.07351 0.0751 0.07589 0.07779 0.0794 0.08071 0.08281 0.08537 0.08908 0.09267 0.09198 0.09158 0.09171 0.09279 0.09394 0.09442 0.09461 0.09706 0.09911 0.10153 0.10187 0.10268 0.10686 0.10665 0.10867 0.11061 0.11225 0.11128 0.10901 0.10503 0.10487 0.10578 0.10783 0.11132 0.11103 0.11099 0.10855 0.10758 0.10537 0.10105 0.10332 0.10219 0.10004
