"Age" "Lx.1933" "Lx.1934" "Lx.1935" "Lx.1936" "Lx.1937" "Lx.1938" "Lx.1939" "Lx.1940" "Lx.1941" "Lx.1942" "Lx.1943" "Lx.1944" "Lx.1945" "Lx.1946" "Lx.1947" "Lx.1948" "Lx.1949" "Lx.1950" "Lx.1951" "Lx.1952" "Lx.1953" "Lx.1954" "Lx.1955" "Lx.1956" "Lx.1957" "Lx.1958" "Lx.1959" "Lx.1960" "Lx.1961" "Lx.1962" "Lx.1963" "Lx.1964" "Lx.1965" "Lx.1966" "Lx.1967" "Lx.1968" "Lx.1969" "Lx.1970" "Lx.1971" "Lx.1972" "Lx.1973" "Lx.1974" "Lx.1975" "Lx.1976" "Lx.1977" "Lx.1978" "Lx.1979" "Lx.1980" "Lx.1981" "Lx.1982" "Lx.1983" "Lx.1984" "Lx.1985" "Lx.1986" "Lx.1987" "Lx.1988" "Lx.1989" "Lx.1990" "Lx.1991" "Lx.1992" "Lx.1993" "Lx.1994" "Lx.1995" "Lx.1996" "Lx.1997" "Lx.1998" "Lx.1999" "Lx.2000" "Lx.2001" "Lx.2002" "Lx.2003" "Lx.2004" "Lx.2005" "Lx.2006" "Lx.2007" "Lx.2008" "Lx.2009" "Lx.2010" "Lx.2011" "Lx.2012" "Lx.2013" "Lx.2014" "Lx.2015" "Lx.2016" "Lx.2017" "Lx.2018" "Lx.2019" "Lx.2020" "Lx.2021" "Lx.2022" "Lx.2023"
"11" 10 92357 91643 92481 92421 92669 93130 93835 93978 94101 94618 94837 95007 95297 95305 96065 96155 96216 96490 96507 96505 96710 96876 96966 97028 96999 96995 97086 97128 97239 97264 97271 97297 97373 97429 97556 97573 97637 97699 97888 97990 98039 98111 98198 98267 98379 98414 98481 98522 98608 98650 98708 98731 98765 98796 98806 98799 98790 98884 98922 98977 98982 99019 99068 99095 99121 99114 99138 99163 99189 99188 99197 99197 99196 99196 99195 99225 99255 99292 99300 99308 99321 99330 99324 99318 99342 99361 99358 99388 99341 99328 99343
"12" 11 92258 91539 92379 92322 92578 93049 93765 93908 94036 94563 94773 94946 95237 95252 96021 96111 96172 96450 96471 96468 96677 96844 96935 96996 96968 96967 97057 97099 97211 97236 97242 97269 97347 97402 97530 97545 97610 97674 97861 97964 98014 98088 98176 98247 98357 98394 98463 98502 98590 98632 98691 98713 98749 98779 98791 98781 98772 98868 98907 98963 98968 99005 99053 99080 99106 99101 99123 99150 99177 99175 99183 99185 99185 99185 99184 99214 99243 99281 99290 99299 99311 99321 99315 99308 99331 99350 99348 99379 99331 99317 99332
"13" 12 92158 91436 92275 92221 92486 92966 93690 93836 93969 94505 94708 94884 95174 95196 95975 96064 96128 96410 96434 96427 96642 96813 96905 96965 96933 96937 97026 97069 97182 97207 97214 97240 97319 97373 97504 97518 97582 97648 97834 97938 97988 98062 98153 98226 98334 98373 98442 98481 98569 98613 98673 98695 98729 98762 98775 98764 98753 98851 98890 98947 98952 98989 99036 99064 99091 99086 99108 99135 99163 99162 99170 99173 99173 99174 99173 99203 99231 99270 99281 99289 99300 99311 99305 99297 99321 99338 99337 99368 99319 99304 99320
"14" 13 92052 91328 92165 92112 92386 92876 93608 93755 93895 94440 94639 94817 95108 95137 95923 96014 96081 96368 96395 96383 96602 96778 96873 96933 96897 96902 96993 97037 97152 97177 97184 97210 97289 97343 97474 97488 97551 97618 97804 97909 97960 98034 98129 98202 98309 98349 98419 98459 98546 98592 98653 98673 98708 98742 98757 98745 98733 98831 98873 98930 98933 98971 99017 99045 99074 99070 99093 99120 99148 99146 99156 99158 99159 99161 99159 99191 99219 99258 99270 99278 99288 99299 99292 99285 99309 99325 99324 99354 99305 99289 99307
"15" 14 91932 91208 92044 91990 92274 92775 93513 93663 93811 94366 94562 94745 95036 95072 95863 95957 96029 96320 96350 96334 96556 96740 96836 96898 96859 96865 96959 97002 97120 97145 97151 97178 97258 97311 97442 97455 97516 97585 97771 97875 97927 98002 98101 98173 98281 98322 98392 98433 98521 98568 98630 98648 98685 98718 98734 98720 98710 98806 98852 98907 98908 98947 98993 99023 99053 99050 99075 99100 99129 99126 99139 99139 99141 99146 99143 99177 99205 99244 99256 99264 99273 99286 99276 99270 99294 99310 99309 99339 99287 99271 99291
"16" 15 91794 91070 91905 91850 92145 92658 93402 93556 93711 94280 94473 94663 94956 94999 95794 95892 95970 96265 96298 96278 96505 96696 96794 96856 96816 96826 96918 96964 97083 97109 97111 97141 97221 97271 97405 97416 97474 97545 97731 97834 97888 97966 98065 98139 98246 98287 98358 98401 98491 98539 98602 98619 98655 98688 98704 98689 98677 98774 98823 98877 98878 98918 98964 98995 99027 99024 99052 99076 99107 99103 99119 99116 99121 99126 99124 99157 99187 99228 99239 99247 99257 99270 99259 99252 99275 99293 99292 99321 99267 99251 99269
"17" 16 91634 90913 91747 91688 91996 92523 93274 93432 93596 94180 94371 94571 94867 94918 95716 95818 95903 96201 96237 96214 96446 96647 96744 96806 96765 96781 96871 96920 97040 97065 97066 97095 97176 97225 97360 97367 97424 97498 97681 97785 97839 97921 98021 98098 98201 98242 98315 98357 98453 98503 98567 98580 98617 98648 98665 98649 98634 98734 98783 98837 98840 98881 98925 98956 98992 98990 99019 99044 99076 99071 99089 99085 99093 99099 99098 99133 99164 99207 99218 99225 99238 99251 99238 99230 99252 99271 99272 99298 99242 99227 99245
"18" 17 91452 90734 91568 91506 91826 92370 93131 93294 93467 94066 94256 94467 94767 94826 95628 95737 95829 96129 96169 96144 96381 96592 96690 96751 96707 96729 96820 96870 96991 97016 97014 97042 97126 97170 97307 97310 97365 97441 97622 97726 97781 97869 97970 98048 98148 98191 98264 98306 98405 98460 98524 98536 98573 98600 98615 98601 98585 98687 98736 98794 98795 98836 98879 98911 98948 98949 98976 99006 99036 99031 99052 99047 99058 99065 99065 99104 99135 99181 99192 99201 99215 99227 99213 99203 99227 99246 99248 99272 99211 99197 99216
"19" 18 91250 90536 91370 91302 91637 92201 92974 93143 93325 93939 94128 94352 94657 94723 95531 95648 95750 96051 96094 96068 96312 96532 96630 96692 96644 96671 96764 96814 96938 96961 96958 96985 97071 97108 97245 97246 97297 97377 97556 97659 97715 97810 97913 97990 98087 98131 98208 98248 98351 98410 98474 98489 98523 98547 98562 98549 98533 98636 98686 98748 98746 98787 98829 98864 98900 98905 98930 98963 98993 98986 99009 99004 99017 99026 99027 99070 99101 99151 99161 99172 99187 99198 99181 99170 99196 99214 99218 99238 99172 99160 99181
"20" 19 91027 90319 91154 91080 91428 92016 92804 92980 93172 93801 93989 94223 94535 94609 95425 95552 95665 95969 96013 95987 96239 96468 96566 96629 96578 96610 96704 96754 96880 96901 96896 96923 97010 97042 97176 97178 97225 97305 97485 97592 97646 97746 97852 97929 98024 98070 98149 98188 98294 98357 98421 98437 98470 98493 98511 98496 98482 98586 98635 98701 98695 98738 98781 98818 98852 98860 98885 98917 98951 98941 98962 98957 98972 98981 98984 99031 99063 99116 99127 99139 99153 99165 99143 99132 99159 99178 99181 99196 99127 99119 99141
